subject, course number, term, aprec, bprec, cprec, crn, dprec, fprec, last, first
AA,508,Spring 2014,83.3,16.7,0.0,32641,0.0,0.0,Leahy,John
AA,508,Fall 2015,62.5,37.5,0.0,10015,0.0,0.0,Leahy,John
AAA,321,Winter 2016,54.2,41.7,4.2,27061,0.0,0.0,Davis,Howard
AAA,510,Winter 2014,85.7,14.3,0.0,28485,0.0,0.0,Lachman,Charles
AAAP,510,Fall 2014,88.9,11.1,0.0,16987,0.0,0.0,Sardell,Shannon
AAAP,510,Winter 2015,41.7,58.3,0.0,26098,0.0,0.0,Miller Dowell,Amy
AAAP,510,Winter 2015,70.0,30.0,0.0,26476,0.0,0.0,Eisemann,Eric
AAAP,510,Fall 2015,86.7,13.3,0.0,10033,0.0,0.0,Sardell,Shannon
AAAP,510,Winter 2016,58.3,41.7,0.0,26689,0.0,0.0,Heath,Kingston
AAAP,511,Fall 2013,50.0,50.0,0.0,10949,0.0,0.0,Sardell,Shannon
AAAP,511,Fall 2014,70.0,30.0,0.0,10125,0.0,0.0,Carter,Elizabeth
AAAP,511,Fall 2015,66.7,16.7,16.7,10034,0.0,0.0,Carter,Elizabeth
AAAP,515,Fall 2014,81.8,18.2,0.0,16516,0.0,0.0,Bell,Christopher
AAAP,522,Winter 2014,40.0,60.0,0.0,27855,0.0,0.0,Heath,Kingston
AAAP,523,Spring 2015,75.0,25.0,0.0,36400,0.0,0.0,Bell,Christopher
AAAP,531,Spring 2014,70.0,20.0,10.0,32657,0.0,0.0,Carter,Elizabeth
AAAP,531,Spring 2016,63.6,27.3,9.1,30047,0.0,0.0,Carter,Elizabeth
AAAP,541,Spring 2014,66.7,33.3,0.0,38873,0.0,0.0,Eisemann,Eric
AAD,199,Winter 2014,46.2,46.2,0.0,21408,0.0,7.7,Bukowski,Michael
AAD,199,Winter 2014,41.7,41.7,16.7,28210,0.0,0.0,Voelker-Morris,Robert
AAD,199,Winter 2015,46.2,15.4,15.4,20046,0.0,23.1,Voelker-Morris,Robert
AAD,199,Winter 2015,53.8,38.5,7.7,27191,0.0,0.0,Bukowski,Michael
AAD,199,Fall 2015,85.0,10.0,0.0,10044,0.0,5.0,Abia-Smith,Lisa
AAD,199,Winter 2016,58.3,25.0,16.7,20135,0.0,0.0,Voelker-Morris,Robert
AAD,250,Fall 2013,61.3,25.3,10.7,10964,1.3,1.3,Turner,David
AAD,250,Fall 2013,77.8,22.2,0.0,17999,0.0,0.0,Huette,Scott
AAD,250,Fall 2013,6.3,43.8,34.4,18000,12.5,3.1,Montoya,Maria
AAD,250,Fall 2013,89.5,10.5,0.0,18001,0.0,0.0,Gurley,Gregory
AAD,250,Winter 2014,79.1,10.4,7.5,21409,1.5,1.5,Redaelli,Eleonora
AAD,250,Winter 2014,81.8,15.2,0.0,27145,0.0,3.0,Huette,Scott
AAD,250,Winter 2014,41.0,41.0,15.4,27146,0.0,2.6,Bretz,David
AAD,250,Winter 2014,13.8,41.4,24.1,27147,17.2,3.4,Montoya,Maria
AAD,250,Spring 2014,72.5,18.8,5.8,32663,0.0,2.9,Gurley,Gregory
AAD,250,Spring 2014,62.9,31.4,5.7,38500,0.0,0.0,Huette,Scott
AAD,250,Spring 2014,79.5,12.8,5.1,38501,0.0,2.6,Turner,David
AAD,250,Spring 2014,55.6,22.2,16.7,38502,5.6,0.0,Bretz,David
AAD,250,Spring 2014,78.9,7.9,13.2,38517,0.0,0.0,Gurley,Gregory
AAD,250,Summer 2014,64.3,25.0,10.7,45640,0.0,0.0,Gurley,Gregory
AAD,250,Summer 2014,91.7,8.3,0.0,45641,0.0,0.0,Anderson,Sisy
AAD,250,Summer 2014,72.7,12.1,9.1,47957,0.0,6.1,Gurley,Gregory
AAD,250,Summer 2014,74.1,11.1,11.1,47961,0.0,3.7,Huette,Scott
AAD,250,Fall 2014,74.7,18.7,6.7,10140,0.0,0.0,Turner,David
AAD,250,Fall 2014,81.6,7.9,0.0,17034,5.3,5.3,Gurley,Gregory
AAD,250,Fall 2014,82.9,8.6,5.7,17035,0.0,2.9,Huette,Scott
AAD,250,Fall 2014,37.8,32.4,16.2,17036,10.8,2.7,Bretz,David
AAD,250,Winter 2015,76.4,10.9,5.5,20047,3.6,3.6,Redaelli,Eleonora
AAD,250,Winter 2015,67.6,20.6,5.9,26306,0.0,5.9,Hager,Lori
AAD,250,Winter 2015,82.5,12.5,5.0,26307,0.0,0.0,Gurley,Gregory
AAD,250,Winter 2015,62.5,25.0,12.5,26308,0.0,0.0,Huette,Scott
AAD,250,Winter 2015,50.0,26.7,16.7,26309,6.7,0.0,Bretz,David
AAD,250,Spring 2015,91.9,2.7,2.7,35992,0.0,2.7,Gurley,Gregory
AAD,250,Spring 2015,55.9,32.4,8.8,35993,2.9,0.0,Huette,Scott
AAD,250,Spring 2015,37.1,45.7,11.4,35994,2.9,2.9,Bretz,David
AAD,250,Spring 2015,44.7,39.5,5.3,35995,2.6,7.9,Montoya,Maria
AAD,250,Spring 2015,64.1,17.9,10.3,36989,5.1,2.6,Tanenbaum,Elizabeth
